Adult Asthma-COPD Organisational audit full results - 06/09/21 - 08/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,,,,Admission numbers,,,,,,,,,,,,Beds for admitted patients,,,,,,,,,,Staffing levels: Number of staff posts in respiratory team (Whole time equivalent (WTE)),,,,,,,,,,,,,,,,,,,,,,,,Access to specialist staff and services,,,Patient access to onsite palliative care,,,7-day working: Operating days/times of system of speciality triage of patients to respiratory medicine,,,,Availability of on-call respiratory consultant,,,,Days/times senior decision maker from respiratory team (ST3 or above) undertakes ward round of new asthma/COPD patients on MAU/admissions ward,,,,Days/times senior decision maker from respiratory team (ST3 or above) undertakes ward round of new asthma/COPD patients on respiratory ward(s),,,,Days/times senior decision maker from respiratory team (ST3 or above) undertakes ward round of new asthma/COPD patients on other wards,,,,Availability of respiratory nurse(s) to review COPD patients,,,,Availability of respiratory nurse(s) to review asthma patients,,,,Availability of respiratory physiotherapist(s) to review COPD patients,,,,Availability of respiratory physiotherapist(s) to review asthma patients,,,,Management of care,,Pulmonary rehabilitation (PR) service available to COPD patients discharged following flare-up,,,,,Integration of care,,Outreach early/supported discharge,,,In-reach/supported discharge,,,Admissions avoidance,,,,Oxygen assessment service,,,,Medicine management service,,,,Chronic disease management,,,,Nebuliser service,,,,Smoking cessation advice,,,,,,MDT meeting - staff attendance: Physician posts,,,MDT meeting - staff attendance: Nurse posts,,MDT meeting - staff attendance: Physiotherapist posts,,MDT meeting - staff attendance: Other healthcare professional posts,,,,,,,,Patient/carer engagement,,,Asthma: Process of transitioning young people from paediatric - adult services includes ensuring:,,,,,
Region,Integrated Care System (ICS),Trust/Local Health Board name,Hospital name (d = 159),Number of adult medical emergency admissions in 2020/21 financial year ,Number of adult medical emergency admissions in 2020/21 financial year per medical bed,Number of respiratory coded medical emergency admissions in 2020/21 financial year ,Number of respiratory coded emergency admissions in 2020/21 financial year per respiratory bed,Number of COPD coded emergency admissions in 2020/21 financial year ,"Number of COPD coded emergency admissions in 2020/21 financial year per 1,000 adult medical emergency admissions ","Total number of COPD coded emergency admissions who were discharged from, or died on, dedicated respiratory ward(s) in the 2020/21 financial year","National average proportion of COPD coded emergency admissions who were discharged from, or died on, dedicated respiratory ward(s) in the 2020/21 financial year",Number of asthma coded emergency admissions  in the 2020/21 financial year ,"Number of asthma coded emergency admissions in 2020/21 financial year per 1,000 adult medical emergency admissions ","Total number of asthma coded emergency admissions who were discharged from, or died on, dedicated respiratory ward(s) in the 2020/21 financial year ","National average proportion of asthma coded emergency admissions who were discharged from, or died on, dedicated respiratory ward(s) in the 2020/21 financial year ",Number of available medical beds,Number of beds available on dedicated respiratory ward(s) ,Number of Level 2 beds available on dedicated respiratory ward(s),"Number of Level 2 beds available on dedicated respiratory ward(s) per 1,000 adult respiratory admissions",Hospital has High Dependency Unit(s) (HDUs)  to which respiratory patients can be admitted,Number of HDU beds available to which COPD and asthma patients can be admitted,"Number of HDU beds available to which COPD and asthma patients can be admitted per 10,000 adult medical emergency admissions",Hospital has Respiratory Support Unit (RSU) to which respiratory patients can be admitted,Number of RSU beds available to which COPD and asthma patients can be admitted,"Number of RSU beds available to which COPD and asthma patients can be admitted per 10,000 adult medical emergency admissions
",ST3 and above WTE,"ST3 and above 
Median (IQR) WTE per 1,000 adult emergency respiratory admissions","ST3 and above 
Median (IQR) WTE per 1,000 COPD emergency admissions","ST3 and above 
Median (IQR) WTE per 1,000 adult asthma emergency admissions",Respiratory Consultant (Filled) WTE,"Respiratory Consultant
Median (IQR) WTE per 1,000 adult emergency respiratory admissions","Respiratory Consultant
Median (IQR) WTE per 1,000 COPD emergency admissions","Respiratory Consultant
Median (IQR) WTE per 1,000 adult asthma emergency admissions",General Respiratory Nurse Specialist (Filled) WTE,"General Respiratory Nurse Specialist
Median (IQR) WTE per 1,000 adult emergency respiratory admissions","General Respiratory Nurse Specialist
Median (IQR) WTE per 1,000 COPD emergency admissions","General Respiratory Nurse Specialist
Median (IQR) WTE per 1,000 adult asthma emergency admissions",COPD Nurse Specialist (Filled) WTE,"COPD Nurse Specialist
Median (IQR) WTE per 1,000 adult emergency respiratory admissions","COPD Nurse Specialist
Median (IQR) WTE per 1,000 COPD emergency admissions",Asthma Nurse Specialist (Filled),"Asthma Nurse Specialist
Median (IQR) WTE per 1,000 adult emergency respiratory admissions","Asthma Nurse Specialist
Median (IQR) WTE per 1,000 adult asthma emergency admissions",Nurse Consultant (Filled) WTE,"Nurse Consultant
Median (IQR) WTE per 1,000 adult emergency respiratory admissions",Advanced Nurse Practitioner (Filled) WTE,"Advanced Nurse Practitioner
Median (IQR) WTE per 1,000 adult emergency respiratory admissions",Advanced Clinical Practitioner (Filled) WTE,"Advanced Clinical Practitioner
Median (IQR) WTE per 1,000 adult emergency respiratory admissions",Respiratory physicians operate a dedicated on-call rota at hospital for respiratory emergency admissions,Designated named clinical lead for COPD available,Designated named clinical lead for asthma available,COPD patients have access,Asthma patients have access,Smoking cessation service available that COPD & asthma patients can be signposted to ,"Weekdays 
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,No speciality triage available,"Weekdays
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,No on-call respiratory consultant available,"Weekdays
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,None,"Weekdays
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,None,"Weekdays
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,None,"Weekdays
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,None,"Weekdays
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,None,"Weekdays
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,None,"Weekdays
(08:00 hrs ñ 18:30 hrs)",Weekends,Out of hours,None,Hospital has Electronic Patient Record (EPR) system,"Name of EPR supplier 
(Free text)",Yes - based onsite,Yes - based within another hospital,Yes - based within the community,No,Is this/are these services available within 30 days of discharge,Hospital has severe asthma service,"If no, hospital has referral pathway to a severe asthma service",Not provided,Provided by hospital-based team,Provided jointly by hospital team and community team,Not provided,Provided by community-based team,Provided jointly by community and hospital team,Not provided,Provided hospital-based team,Provided by community-based team,Provided by single team working across community/secondary care interface,Not provided,Provided by hospital-based team,Provided by community-based team,Provided by single team working across community/secondary care interface,Not provided,Provided by hospital-based team,Provided by community-based team,Provided by single team working across community/secondary care interface,Not provided,Provided by hospital-based team,Provided by community-based team,Provided by single team working across community/secondary care interface,Not provided,Provided by hospital-based team,Provided by community-based team,Provided by single team working across community/secondary care interface,Not provided,Provided by hospital-based team,Provided by community-based team,Provided by single team working across community/secondary care interface,Regular MDT meeting between hospital and community teams for patients with COPD,"If yes, how frequently does the meeting occur",Respiratory consultant attends,Other member of respiratory specialist team attends,General practitioner attends,Ward nurse attends,Community nurse attends,Ward physiotherapist attends,Community physiotherapist attends,Ward pharmacist attends,Ward OT attends,Community pharmacist attends,Community OT attends,Smoking cessation counsellor attends,Psychologist attends,Other staff attend,Time within MDT meeting for developing local integrated respiratory services ,Frequency of survey of patient/carer views on respiratory service,Trust/Health Board has strategic group for respiratory services,Patient representation within strategic group,Young person has full record of condition,GP has full record of condition,Young person given opportunity to be seen without parents/carers,Transition plan agreed with paediatric and adult consultants,Named case worker assigned to assist signposting young person/family,No formal transition plan arrangements
East of England ,"Bedfordshire, Luton and Milton Keynes ",Luton and Dunstable University Hospital NHS Foundation Trust,Luton & Dunstable Hospital,39628,104,5265,160,806,20,316,39,369,9,102,28,380,33,0,0,Yes,7,2,No,Not applicable,Not applicable,6,1.1,7.4,16.3,10,1.9,12.4,27.1,7,1.3,8.7,19,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Evolve,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Monthly,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Continuous (every patient),Yes,No,Yes,Yes,Yes,Yes,No,No
East of England ,"Bedfordshire, Luton and Milton Keynes ",Milton Keynes University Hospital NHS Foundation Trust,Milton Keynes General Hospital,13639,43,2482,43,346,25,123,36,109,8,17,16,319,58,0,0,No,Not applicable,Not applicable,No,Not applicable,Not applicable,2,0.8,5.8,18.3,5,2,14.5,45.9,0,0,0,0,1,0.4,2.9,0,0,0,0,0,2.6,1,0,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,ecare,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Weekly,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Less than once a year,Yes,Yes,No,No,No,No,No,Yes
East of England ,Cambridgeshire and Peterborough ,Cambridge University Hospitals NHS Foundation Trust,Addenbrooke's Hospital,23670,76,2495,100,813,34,218,27,160,7,52,33,313,25,0,0,Yes,8,3,Yes,11,5,5,2,6.2,31.3,7.3,2.9,9,45.6,3,1.2,3.7,18.8,3,1.2,3.7,3,1.2,18.8,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Epic,No,No,Yes,No,Not known,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Monthly,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,1-2 times a year,Yes,Yes,No,No,No,Yes,No,No
East of England ,Cambridgeshire and Peterborough ,North West Anglia NHS Foundation Trust,Hinchingbrooke Hospital,13762,55,1331,67,599,44,116,19,122,9,10,8,251,20,0,0,Yes,5,4,No,Not applicable,Not applicable,1,0.8,1.7,8.2,3,2.3,5,24.6,1,0.8,1.7,8.2,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not applicable,No,No,Yes,No,Not known,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Weekly,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Never,Yes,No,No,No,No,No,No,Yes
East of England ,Cambridgeshire and Peterborough ,North West Anglia NHS Foundation Trust,Peterborough City Hospital,32942,55,2843,81,1615,49,293,18,122,4,38,31,602,35,0,0,Yes,16,5,Yes,9,3,2,0.7,1.2,16.4,5,1.8,3.1,41,6,2.1,3.7,49.2,0,0,0,0,0,0,0,0,0,0,1,0.4,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not applicable,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Other,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Never,Yes,No,Yes,Yes,Yes,No,No,No
East of England ,Hertfordshire and West Essex,East and North Hertfordshire NHS Trust,Lister Hospital,30219,89,4537,116,841,28,275,33,141,5,44,31,340,39,6,1,Yes,18,6,Yes,6,2,4,0.9,4.8,28.4,7.6,1.7,9,53.9,5,1.1,5.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Not applicable,No,No,Yes,No,No,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Monthly,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Less than once a year,Yes,No,No,No,No,No,No,Yes
East of England ,Hertfordshire and West Essex,West Hertfordshire Hospitals NHS Trust,Watford General Hospital,19409,50,712,27,417,22,46,11,162,8,12,7,390,26,8,11,Yes,16,8,Yes,26,13,0,0,0,0,7,9.8,16.8,43.2,1,1.4,2.4,6.2,0.5,0.7,1.2,0.5,0.7,3.1,1,1.4,0,0,1,1.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Not applicable,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,1-2 times a year,Yes,No,No,No,No,No,No,Yes
East of England ,Mid and South Essex ,Basildon and Thurrock University Hospitals NHS Foundation Trust,Basildon Hospital,87410,192,4696,85,1465,17,196,13,169,2,40,24,456,55,8,2,Yes,8,1,Yes,8,1,3,0.6,2,17.8,7,1.5,4.8,41.4,4,0.9,2.7,23.7,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Medway 4,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,No,Never,Not known,,No,No,No,No,No,Yes
East of England ,Mid and South Essex ,Southend University Hospital NHS Foundation Trust,Southend Hospital,24614,83,3857,88,1155,47,0,0,264,11,0,0,298,44,12,3,Yes,10,4,Yes,12,5,2,0.5,1.7,7.6,4,1,3.5,15.2,2,0.5,1.7,7.6,1,0.3,0.9,1,0.3,3.8,0,0,0,0,0,0,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,CED,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Fortnightly,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Less than once a year,Yes,Yes,No,No,No,No,No,Yes
East of England ,Norfolk and Waveney Partnership ,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust","Queen Elizabeth Hospital, King's Lynn",25692,69,2100,64,873,34,43,5,91,4,0,0,375,33,8,4,Yes,8,3,Yes,4,2,3,1.4,3.4,33,4,1.9,4.6,44,1,0.5,1.1,11,0,0,0,0,0,0,0,0,0,0,1,0.5,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not applicable,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,,,,,,,,,,,,,,,,No,Less than once a year,Yes,No,Yes,Yes,Yes,Yes,Yes,No
